PopNum,NewSiteCode,Latitude,Longitude,range,ecoregion,region,countryORstate,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,cmi_max,cmi_mean,cmi_min,cmi_range,gdd0,gdd5,gdd10,gddlgd10,gdgfgd10,gsl,gsp,gst,hurs_max,hurs_mean,hurs_min,hurs_range,ngd0,ngd5,ngd10,npp,pet_penman_max,pet_penman_mean,pet_penman_min,pet_penman_range,rsds_max,rsds_mean,rsds_min,rsds_range,scd,sfcWind_max,sfcWind_mean,sfcWind_min,sfcWind_range,vpd_max,vpd_mean,vpd_min,vpd_range,elev
2,HorseneckBeach1,41.507373,-71.059003,invaded,MIXED_WOOD_PLAINS,Erockies,Massachusetts,2836,39,1.600000024,7259,2954,2711,243,2817,2896,2930,2745,12670,1285,882,117,3434,2855,2902,3170,584,45,-797,1382,38304,23658,12682,311,125,324,11234,2849,6549,6062,5695,854,365,251,187,14464,16553,9825,4637,11915,22125,14547,5994,16131,0,7308,6171,4993,2315,8475,5313,2689,5786,0
5,IslandBeach1,39.799971,-74.093647,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,New_Jersey,2862,67,2.269999981,8030,3012,2717,295,2962,2893,2966,2761,11354,1098,783,99,3029,2691,3006,2736,473,-170,-918,1391,47924,31591,19237,318,101,365,11354,2863,6128,5805,5602,526,365,277,218,15494,18859,10916,4804,14054,22779,15179,6802,15977,0,6544,5748,4586,1958,12513,6962,3062,9451,-2
7,ShaversFork1,38.91184,-79.741269,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,West_Virginia,2831,90,2.900000095,7899,2981,2670,311,2913,2840,2931,2726,16257,1857,1093,186,5249,3424,4845,3481,917,520,54,864,37309,23697,12901,292,106,253,11983,2873,6603,6250,5835,768,305,244,187,14019,14014,7908,2628,11386,21419,14359,6299,15120,106,3710,2956,2006,1704,8326,5080,2039,6287,853
8,Jonesboro1,35.843205,-90.680971,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,Arkansas,2891,96,2.930000067,8358,3053,2727,326,2838,2986,2996,2779,12470,1291,751,182,3657,2442,2546,3088,867,-32,-946,1812,58283,40662,26689,322,71,365,12470,2891,5805,5644,5456,349,365,310,252,16494,18316,10436,3586,14730,23566,16212,7767,15799,0,3665,3073,2284,1381,15475,8896,3324,12151,96
9,Carlyle1,38.008612,-95.393791,invaded,GREAT_PLAINS,Erockies,Kansas,2868,98,2.75999999,9268,3049,2694,355,2962,2744,2985,2744,10948,1602,318,427,4294,1204,3799,1204,49,-251,-899,949,49927,34939,22527,309,86,310,10335,2892,5908,5684,5512,396,341,272,224,15112,20632,11335,3898,16733,23983,15947,7639,16344,39,5799,4964,4040,1759,15110,7899,2585,12525,315
10,Fredericksburg1,30.274167,-98.871944,invaded,GREAT_PLAINS,Erockies,Texas,2919,105,3.779999971,6641,3061,2782,279,2986,2830,3001,2830,7930,990,430,284,2591,1369,2155,1369,-25,-474,-1153,1128,68644,50394,32586,344,34,221,7930,2901,5954,5708,5525,429,365,365,311,11940,17825,11088,4748,13076,24161,17484,10215,13946,0,3052,2661,2186,866,16492,10018,5004,11488,536
12,Springer2,36.426194,-99.397131,invaded,GREAT_PLAINS,Erockies,Oklahoma,2878,115,3.210000038,9119,3069,2710,359,2971,2759,2995,2759,6447,961,197,443,2482,700,2270,700,-100,-576,-1417,1317,53644,37399,24558,312,81,196,6447,2860,5521,5366,5175,346,365,283,232,10142,19936,10974,3572,16364,25203,17530,9128,16075,0,4570,3962,3492,1078,17867,9037,3210,14657,602
14,Springer4,35.290937,-99.505347,invaded,GREAT_PLAINS,Erockies,Oklahoma,2885,115,3.299999952,8813,3069,2719,350,2932,2770,2998,2770,6698,987,212,448,2507,727,2222,727,-212,-703,-1705,1493,56343,39246,25865,316,75,194,6698,2873,5571,5405,5186,385,365,296,242,10459,21718,12446,4696,17022,25278,17792,9552,15726,0,5441,4699,4000,1441,18087,9295,3448,14639,577
15,Springer5,36.61421,-99.571242,invaded,GREAT_PLAINS,Erockies,Oklahoma,2876,118,3.269999981,9133,3069,2708,361,2969,2756,2993,2756,6459,1016,174,462,2516,680,2388,680,-205,-736,-1653,1447,52854,36799,24089,311,82,190,6459,2860,5493,5346,5130,363,365,280,230,10158,22396,12566,4589,17807,25258,17726,9418,15840,0,6004,5194,4639,1365,17766,8959,3180,14586,648
17,DryLakes1,34.55595,-119.243453,invaded,MARINE_WEST_COAST_FOREST,Wrockies,California,2867,124,4.75,5230,3015,2753,262,2812,2935,2936,2804,4694,1082,16,971,2845,58,86,2777,616,-646,-1783,2399,49610,31360,15832,321,86,222,4636,2835,5359,4977,4639,720,365,365,236,7785,17991,10275,3176,14815,30410,20253,9478,20932,0,1963,1772,1511,452,13528,8337,4901,8627,1056
18,Glyndon1,46.846183,-96.476555,invaded,GREAT_PLAINS,Erockies,Minnesota,2788,98,2.24000001,11972,3006,2568,438,2912,2626,2935,2626,6149,1027,148,568,2634,525,2625,525,64,-311,-876,940,31624,20928,12010,278,120,203,4937,2883,6679,5911,5369,1310,231,196,159,9760,16988,8079,1386,15602,22807,14142,4803,18004,159,4776,4448,3949,828,11200,5185,829,10371,292
